ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15513,2020-03-04T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15514,2020-03-04T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15515,2020-03-04T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15516,2020-03-04T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15517,2020-03-04T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15518,2020-03-04T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15519,2020-03-04T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15520,2020-03-04T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15521,2020-03-04T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15522,2020-03-04T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15523,2020-03-05T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15524,2020-03-05T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15525,2020-03-05T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15526,2020-03-05T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15527,2020-03-05T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15528,2020-03-05T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15529,2020-03-05T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15530,2020-03-05T00:00:00.000Z
