ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15445,2020-03-02T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15446,2020-03-02T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15447,2020-03-02T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15448,2020-03-02T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15449,2020-03-02T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15450,2020-03-02T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15451,2020-03-02T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15452,2020-03-02T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15453,2020-03-02T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15454,2020-03-02T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15455,2020-03-02T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15456,2020-03-02T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15457,2020-03-02T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15458,2020-03-02T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15459,2020-03-02T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15460,2020-03-02T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15461,2020-03-02T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15462,2020-03-02T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15463,2020-03-02T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15464,2020-03-02T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15465,2020-03-02T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15466,2020-03-02T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15467,2020-03-02T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15468,2020-03-02T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15469,2020-03-02T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15470,2020-03-02T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15471,2020-03-03T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15472,2020-03-03T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15473,2020-03-03T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15474,2020-03-03T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15475,2020-03-03T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15476,2020-03-03T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15477,2020-03-03T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15478,2020-03-03T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15479,2020-03-03T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15480,2020-03-03T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15481,2020-03-03T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15482,2020-03-03T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15483,2020-03-03T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15484,2020-03-03T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15485,2020-03-03T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15486,2020-03-03T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15487,2020-03-03T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15488,2020-03-03T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15489,2020-03-03T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15490,2020-03-03T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15491,2020-03-03T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15492,2020-03-03T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15493,2020-03-03T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15494,2020-03-03T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15495,2020-03-03T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15496,2020-03-03T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15497,2020-03-04T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15498,2020-03-04T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15499,2020-03-04T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15500,2020-03-04T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15501,2020-03-04T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15502,2020-03-04T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15503,2020-03-04T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15504,2020-03-04T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15505,2020-03-04T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15506,2020-03-04T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15507,2020-03-04T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15508,2020-03-04T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15509,2020-03-04T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15510,2020-03-04T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15511,2020-03-04T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15512,2020-03-04T00:00:00.000Z
